combined_fips,votes_dem_2020,votes_gop_2020,total_votes_2020,per_dem_2020,per_gop_2020,diff_2020,per_point_diff_2020,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,county_name,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
12105,145049,194586,343256,0.422567996,0.566883026,49537,0.14431503,117182,157216,283828,0.41286272,0.553912933,40034,-0.141050214,Polk County,248658,114610,131566,0.460914187,0.529104232,16956,-0.068190044
12107,10527,25514,36373,0.289417975,0.701454375,14987,0.412036401,9920,21873,32652,0.303809874,0.669882396,11953,-0.366072522,Putnam County,31323,11666,19326,0.372441976,0.61699071,7660,-0.244548734
12113,27612,77385,106928,0.258229837,0.723711282,49773,0.465481445,18398,65126,87432,0.210426389,0.744876018,46728,-0.534449629,Santa Rosa County,76816,17757,58169,0.231162779,0.757251094,40412,-0.526088315
12115,120110,148370,270575,0.443906495,0.548350735,28260,0.104444239,97676,124098,228509,0.427449247,0.543077078,26422,-0.115627831,Sarasota County,207434,95089,110489,0.458406047,0.532646529,15400,-0.074240481
12117,132528,125241,260815,0.508130284,0.48019094,7287,0.027939344,105611,109265,224377,0.470685498,0.48697059,3654,-0.016285092,Seminole County,208605,96435,109939,0.46228518,0.527019966,13504,-0.064734786
12109,63850,110946,176622,0.361506494,0.628155043,47096,0.266648549,43037,88633,136392,0.315539035,0.649840167,45596,-0.334301132,St. Johns County,114733,35155,78490,0.306407049,0.684110064,43335,-0.377703015
12111,84137,86831,172169,0.48868844,0.504335856,2694,0.015647416,66812,70248,140731,0.4747497,0.499165074,3436,-0.024415374,St. Lucie County,123026,65869,56202,0.53540715,0.456830264,9667,0.078576886
12119,29341,62761,92485,0.317251446,0.678607342,33420,0.361355896,22631,52722,76649,0.295254994,0.687836762,30091,-0.392581769,Sumter County,60471,19519,40644,0.322782822,0.672123828,21125,-0.349341006
12121,4485,16410,21057,0.212993304,0.779313292,11925,0.566319989,3955,14281,18675,0.211780455,0.764712182,10326,-0.552931727,Suwannee County,17627,4749,12672,0.269416236,0.718897146,7923,-0.44948091
12123,2299,7751,10127,0.227016886,0.765379678,5452,0.538362793,2149,6923,9279,0.231598233,0.746093329,4774,-0.514495096,Taylor County,9117,2761,6249,0.302840847,0.685422836,3488,-0.38258199
12125,1053,5133,6245,0.168614892,0.82193755,4080,0.653322658,1014,4567,5693,0.178113473,0.802213244,3553,-0.624099772,Union County,5393,1339,3980,0.248284814,0.737993696,2641,-0.489708882
12127,130575,173821,307439,0.424718399,0.565383702,43246,0.140665303,108793,142763,260304,0.41794594,0.5484472,33970,-0.13050126,Volusia County,234483,114716,117473,0.489229496,0.500987278,2757,-0.011757782
12129,5351,12874,18404,0.29075201,0.699521843,7523,0.408769833,4348,10507,15344,0.283368092,0.684762774,6159,-0.401394682,Wakulla County,14656,5173,9288,0.352961245,0.633733624,4115,-0.28077238
12131,10338,32947,43711,0.236507973,0.753746197,22609,0.517238224,6861,25695,33559,0.204445901,0.765666438,18834,-0.561220537,Walton County,28480,6665,21483,0.234023876,0.75431882,14818,-0.520294944
12133,2347,9876,12327,0.190395068,0.801168167,7529,0.6107731,2261,8630,11144,0.202889447,0.774407753,6369,-0.571518306,Washington County,10998,2820,8037,0.256410256,0.730769231,5217,-0.474358974
